"halkaName","blockCode","localFiles","dbPages","voters","ocrProcessed","uploadMatch","hasLocalFolder","notes"
"LA41","1854048","3","3","8","3","true","true",""
"LA41","1854049","3","3","5","3","true","true",""
"LA41","1854050","3","3","18","3","true","true",""
"LA41","1854051","4","4","41","4","true","true",""
"LA41","1854052","3","3","11","3","true","true",""
"LA41","1854053","3","3","12","3","true","true",""
"LA41","1854054","3","3","32","3","true","true",""
"LA41","1854055","7","7","81","7","true","true",""
"LA41","1854056","4","4","49","4","true","true",""
"LA41","1854057","5","5","54","5","true","true",""
"LA41","1854062","2","2","1","2","true","true",""
"LA41","1854069","5","5","19","5","true","true",""
"LA41","1854074","3","3","2","3","true","true",""
"LA41","1854082","2","2","1","2","true","true",""
"LA41","1854085","2","2","2","2","true","true",""
"LA41","1854087","2","2","1","2","true","true",""
"LA41","1861001","12","12","192","12","true","true",""
"LA41","1861002","3","3","20","3","true","true",""
"LA41","1861003","7","7","106","7","true","true",""
"LA41","1861005","4","4","43","4","true","true",""
"LA41","1861006","3","3","30","3","true","true",""
"LA41","1861007","3","3","4","3","true","true",""
"LA41","1861009","6","6","92","6","true","true",""
"LA41","1861010","3","3","20","3","true","true",""
"LA41","1861011","5","5","60","5","true","true",""
"LA41","1861012","3","3","11","3","true","true",""
"LA41","1861013","4","4","48","4","true","true",""
"LA41","1861015","4","4","46","4","true","true",""
"LA41","1861016","5","5","66","5","true","true",""
"LA41","1861017","12","12","268","12","true","true",""
"LA41","1861018","5","5","78","5","true","true",""
"LA41","1861019","2","2","2","2","true","true",""
"LA41","1861020","5","5","53","5","true","true",""
"LA41","1861023","2","2","1","2","true","true",""
"LA41","1861033","2","2","1","2","true","true",""
"LA41","1881001","3","3","13","3","true","true",""
"LA41","1890005","2","2","2","2","true","true",""
"LA41","1971001","3","3","10","3","true","true",""
"LA41","1971003","3","3","12","3","true","true",""
"LA41","1971004","3","3","14","3","true","true",""
"LA41","1971005","3","3","10","3","true","true",""
"LA41","1971006","3","3","21","3","true","true",""
"LA41","1971007","3","3","12","3","true","true",""
"LA41","1971030","3","3","3","3","true","true",""
"LA41","1971035","2","2","1","2","true","true",""
"LA41","1971039","2","2","2","2","true","true",""
"LA41","1980001","5","5","75","5","true","true",""
"LA41","1980002","7","7","127","7","true","true",""
"LA41","1980003","4","4","47","4","true","true",""
"LA41","1980004","3","3","32","3","true","true",""
"LA41","1980007","3","3","4","3","true","true",""
"LA41","1980013","2","2","3","2","true","true",""
"LA41","1980014","3","3","2","3","true","true",""
"LA41","1980015","3","3","3","3","true","true",""
"LA41","1980016","2","2","1","2","true","true",""
"LA41","1980018","3","3","3","3","true","true",""
"LA41","1980019","3","3","12","3","true","true",""
"LA41","1980021","2","2","1","2","true","true",""
"LA41","1980022","3","3","5","3","true","true",""
"LA41","1990004","3","3","7","3","true","true",""
"LA41","1990009","3","3","5","3","true","true",""
"LA41","1990011","2","2","1","2","true","true",""
"LA41","1990012","3","3","4","3","true","true",""
"LA41","1990017","3","3","2","3","true","true",""
"LA41","1990028","4","4","51","4","true","true",""
"LA41","1990029","3","3","41","3","true","true",""
"LA41","2000001","3","3","42","3","true","true",""
"LA41","2000003","3","3","4","3","true","true",""
"LA41","2000005","3","3","2","3","true","true",""
"LA41","2010002","7","7","108","7","true","true",""
"LA41","2010011","3","3","2","3","true","true",""
"LA41","2030003","2","2","1","2","true","true",""
"LA41","2040002","3","3","9","3","true","true",""
"LA41","2590001","5","5","67","5","true","true",""
"LA41","2590002","3","3","25","3","true","true",""
"LA41","2590003","7","7","130","7","true","true",""
"LA41","2590004","5","5","55","5","true","true",""
"LA41","2590005","3","3","31","3","true","true",""
"LA41","2590006","5","5","49","5","true","true",""
"LA41","2590007","3","3","9","3","true","true",""
"LA41","2590008","3","3","37","3","true","true",""
"LA41","2590009","3","3","21","3","true","true",""
"LA41","2590010","3","3","10","3","true","true",""
"LA41","2604001","5","5","57","5","true","true",""
"LA41","2604002","8","8","143","8","true","true",""
"LA41","2604003","6","6","94","6","true","true",""
"LA41","2604004","9","9","184","9","true","true",""
"LA41","2604005","4","4","55","4","true","true",""
"LA41","2604006","4","4","33","4","true","true",""
"LA41","2604007","12","12","252","12","true","true",""
"LA41","2604008","9","9","173","9","true","true",""
"LA41","2604009","6","6","107","6","true","true",""
"LA41","2604010","3","3","26","3","true","true",""
"LA41","2604017","3","3","2","3","true","true",""
